smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0,,,,,,train
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1,,,,,,train
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1,,,,,,train
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,,,,,,train
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1,,,,,,test
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1,,,,,,train
CCN(CC)N=O,0,,,,,,train
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1,,,,,,train
[C-]#N,1,,,,,,train
CC(O)CO,0,,,,,,valid
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1,,,,,,train
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,,,,,,train
CN(C)N=O,0,,,,,,train
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0,,,,,,train
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,1,,,,,,test
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,,,,,,train
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1,,,,,,train
CNCCC=C1c2ccccc2CCc2ccccc21,1,,,,,,train
OCC(F)(F)F,0,,,,,,train
FC(F)(Cl)C(F)(Cl)Cl,1,,,,,,valid
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1,,,,,,train
c1cc2c3c(cccc3c1)CC2,1,,,,,,train
CCOC(=O)c1ccccc1C(=O)OCC,1,,,,,,train
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1,,,,,,train
c1ccc2c(c1)ccc1ccccc12,1,,,,,,test
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1,,,,,,train
O=NN(c1ccccc1)c1ccccc1,1,,,,,,train
c1ccc2c(c1)Cc1ccccc1-2,1,,,,,,train
c1ccc2ccccc2c1,1,,,,,,train
FC(F)(F)c1ccccc1,1,,,,,,valid
Brc1ccc(Oc2ccccc2)cc1,1,,,,,,train
CC(=O)Nc1ccc(O)cc1,0,,,,,,train
C=CC#N,1,,,,,,train
C=CCC#N,0,,,,,,train
CC(=O)OCCOC(C)=O,1,,,,,,test
COCCOCCO,0,,,,,,train
CCCCOCCOCCO,0,,,,,,train
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0,,,,,,train
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1,,,,,,train
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1,,,,,,valid
c1ccc2cc3ccccc3cc2c1,1,,,,,,train
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1,,,,,,train
COC(=O)c1ccccc1C(=O)OC,1,,,,,,train
c1ccc2c(c1)oc1ccccc12,1,,,,,,train
O=C(O)O,0,,,,,,test
c1ccc2c(c1)-c1cccc3cccc-2c13,1,,,,,,train
NC(=O)N1c2ccccc2C=Cc2ccccc21,1,,,,,,train
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,,,,,,train
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,0,,,,,,valid
CCOC(=O)C(F)(F)F,0,,,,,,train
Nc1ccc(F)cc1C(F)(F)F,1,,,,,,train
N#CC=CC(F)(F)F,1,,,,,,train
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,,,,,,train
CC(C)NCC(O)COc1cccc2ccccc12,1,,,,,,test
O=Cc1c(F)c(F)c(F)c(F)c1F,1,,,,,,train
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0,,,,,,train
Nc1c(F)c(F)c(F)c(F)c1F,1,,,,,,train
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
OC(C(F)(F)F)C(F)(F)F,0,,,,,,valid
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,1,,,,,,train
Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1,,,,,,train
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
Clc1ccccc1-c1ccccc1,1,,,,,,train
Clc1cccc(-c2ccccc2)c1,1,,,,,,test
Clc1ccc(-c2ccccc2)cc1,1,,,,,,train
CCCCCCCCC#N,1,,,,,,train
Nc1ccc(F)c(C(F)(F)F)c1,1,,,,,,train
CCCCCCCCCCCC#N,1,,,,,,train
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,1,,,,,,valid
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1,,,,,,train
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
COC(=O)c1c(Cl)c(Cl)c(C(=O)SC)c(Cl)c1Cl,1,,,,,,train
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,1,,,,,,test
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,1,,,,,,train
CCCCCCCCCc1ccc(OCCOCCO)cc1,1,,,,,,train
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,1,,,,,,train
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,1,,,,,,train
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3c(Cl)cc(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1Cl,1,,,,,,valid
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(-c3cc(Cl)c(Cl)c(Cl)c3)c(Cl)c2Cl)c1,1,,,,,,train
