smiles,FishAT,group,catergory
Nc1ccc(F)cc1C(F)(F)F,1,train,aniline amino group
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1,train,aniline amino group
Nc1c(F)c(F)c(F)c(F)c1F,1,train,aniline amino group
Nc1ccc(F)c(C(F)(F)F)c1,1,train,aniline amino group
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,train,aniline amino group
Nc1ccc(N=Nc2ccccc2)cc1,1,train,aniline amino group
Nc1nc[nH]n1,1,valid,aniline amino group
Nc1ccccc1,1,test,aniline amino group
CCC(=O)c1ccc(N)cc1,1,valid,aniline amino group
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,1,test,aniline amino group
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1,train,aniline amino group
NC(=O)c1ccccc1N,1,train,aniline amino group
Nc1ccccc1[N+](=O)[O-],1,train,aniline amino group
Cc1ccc(N)c([N+](=O)[O-])c1,1,valid,aniline amino group
COc1ccccc1N,1,train,aniline amino group
Nc1ccc2ccccc2c1,1,train,aniline amino group
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1,train,aniline amino group
Nc1ccc(-c2ccc(N)cc2)cc1,1,train,aniline amino group
CCOC(=O)c1ccc(N)cc1,1,train,aniline amino group
Nc1ccccc1Cl,1,train,aniline amino group
Cc1ccccc1N,1,test,aniline amino group
Nc1ccccc1N,1,valid,aniline amino group
Nc1ccc(Cl)c(Cl)c1,1,train,aniline amino group
Cc1ccc(N)cc1N,1,train,aniline amino group
Cc1ccc(Cl)c(N)c1,1,train,aniline amino group
Nc1cc(Cl)ccc1Cl,1,train,aniline amino group
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,train,aniline amino group
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,train,aniline amino group
Cc1cc(S(=O)(=O)O)ccc1N,0,train,aniline amino group
CC(=O)c1cccc(N)c1,1,train,aniline amino group
Nc1cccc([N+](=O)[O-])c1,1,train,aniline amino group
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,train,aniline amino group
Cc1cc([N+](=O)[O-])ccc1N,1,train,aniline amino group
Cc1ccc([N+](=O)[O-])cc1N,1,train,aniline amino group
CC(C)c1ccc(N)cc1,1,train,aniline amino group
Nc1ccc([N+](=O)[O-])cc1,1,train,aniline amino group
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1,train,aniline amino group
Nc1ccc(Cc2ccc(N)cc2)cc1,1,train,aniline amino group
CCCCc1ccc(N)cc1,1,train,aniline amino group
Nc1ccc(Br)cc1,1,valid,aniline amino group
Nc1ccc(Cl)cc1,1,valid,aniline amino group
Cc1ccc(N)cc1,1,train,aniline amino group
Nc1ccc(N)cc1,1,train,aniline amino group
Nc1cccc(Cl)c1,1,train,aniline amino group
Cc1cc(C)cc(N)c1,1,train,aniline amino group
Cc1ccc(N)cc1[N+](=O)[O-],1,train,aniline amino group
Nc1ccc(O)c([N+](=O)[O-])c1,1,test,aniline amino group
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,1,train,aniline amino group
CCCc1ncc(C[n+]2ccccc2C)c(N)n1,0,train,aniline amino group
Nc1ccc(S(=O)(=O)O)cc1,1,train,aniline amino group
Nc1ccc([N+](=O)[O-])cc1Cl,1,train,aniline amino group
Nc1ccc(O)cc1,1,train,aniline amino group
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,1,train,aniline amino group
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,1,train,aniline amino group
COC(=O)c1ccccc1N,1,train,aniline amino group
Nc1ccc(F)cc1,1,train,aniline amino group
Nc1cccc2cccc(N)c12,1,train,aniline amino group
Nc1ccncc1,1,valid,aniline amino group
Nc1ccc(Cl)cc1Cl,1,train,aniline amino group
Cc1cccc([N+](=O)[O-])c1N,1,train,aniline amino group
Cc1ccc([N+](=O)[O-])c(N)c1,1,train,aniline amino group
CCc1ccc(N)cc1,1,train,aniline amino group
Nc1cccc(O)c1,1,train,aniline amino group
Cc1c(N)cccc1[N+](=O)[O-],1,train,aniline amino group
Nc1c(Cl)cccc1Cl,1,test,aniline amino group
Cc1ccc(N)c(Cl)c1,1,test,aniline amino group
CCOc1ccc(N)c([N+](=O)[O-])c1,1,test,aniline amino group
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,train,aniline amino group
Nc1ccc(Cl)c(Cl)c1Cl,1,train,aniline amino group
Nc1c(Cl)cc(Cl)cc1Cl,1,test,aniline amino group
Nc1cc(Cl)c(Cl)cc1Cl,1,test,aniline amino group
CCOC(=O)c1cccc(N)c1,1,train,aniline amino group
Nc1ccc(Br)cn1,1,train,aniline amino group
Nc1cccc(OCc2ccccc2)c1,1,train,aniline amino group
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,1,train,aniline amino group
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,1,train,aniline amino group
Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1,train,aniline amino group
Nc1ccccc1C(=O)c1ccc(Cl)cc1,1,train,aniline amino group
Cc1cc(O)cc(C)c1N,1,test,aniline amino group
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1,valid,aniline amino group
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,1,valid,aniline amino group
Cc1cc(N)c([N+](=O)[O-])cc1[N+](=O)[O-],1,train,aniline amino group
COC(=O)c1ccc(C(=O)OC)c(N)c1,1,test,aniline amino group
Cc1cc(Cl)nc(N)n1,1,train,aniline amino group
N#Cc1cc(Cl)ccc1N,1,train,aniline amino group
Cc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1,1,train,aniline amino group
Cc1cc(N)c(O)cc1C,1,test,aniline amino group
Cc1ccc(N)cc1Cl,1,train,aniline amino group
Cc1c([N+](=O)[O-])ccc(N)c1[N+](=O)[O-],1,train,aniline amino group
CCCCCCCCc1ccc(N)cc1,1,train,aniline amino group
Cc1nnc(N)nc1C,1,train,aniline amino group
Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1,train,aniline amino group
CC(C)c1cccc(C(C)C)c1N,1,train,aniline amino group
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)c(O)c4)cc3O)c(O)c12,0,train,aniline amino group
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,train,aniline amino group
Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,train,aniline amino group
CCCCCCCCCCc1ccc(N)cc1,1,train,aniline amino group
CCCCCCOc1ccc(N)cc1,1,train,aniline amino group
Cc1c([N+](=O)[O-])ccc([N+](=O)[O-])c1N,1,valid,aniline amino group
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,1,train,aniline amino group
Cc1ccc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1,train,aniline amino group
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F,1,train,aniline amino group
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,1,train,aniline amino group
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,1,train,aniline amino group
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C(F)(F)F,1,valid,aniline amino group
COC(=O)c1nc(C2CC2)nc(N)c1Cl,1,valid,aniline amino group
Cc1ccc2c(c1)C(Nc1nc(N)nc(C(C)F)n1)C(C)C2,1,train,aniline amino group
