smiles,FishAT,group,catergory
CCCCc1ccc(N)cc1,1,train,aniline amino group
Nc1cc(Cl)c(Cl)cc1Cl,1,test,aniline amino group
CCCCCCCCc1ccc(N)cc1,1,train,aniline amino group
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)c(O)c4)cc3O)c(O)c12,0,train,aniline amino group
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,train,aniline amino group
CCCCCCCCCCc1ccc(N)cc1,1,train,aniline amino group
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c12,0,test,aniline amino group
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,train,aniline amino group
Nc1cc(Cl)c(N)cc1Cl,1,train,aniline amino group
Cc1cc(-c2ccc(NN=C3C=Cc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4C3=O)c(C)c2)ccc1NN=C1C=Cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2C1=O,0,train,aniline amino group
COc1cc(-c2ccc(NN=C3C=Cc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4C3=O)c(OC)c2)ccc1NN=C1C=Cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2C1=O,0,train,aniline amino group
COC(=O)c1nc(-c2ccc(Cl)c(OC)c2F)cc(N)c1Cl,1,train,aniline amino group
COc1c(Cl)ccc(-c2cc(N)c(Cl)c(C(=O)O)n2)c1F,0,train,aniline amino group
Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)c2c1C(=O)c1ccccc1C2=O,0,train,aniline amino group
Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,0,train,aniline amino group
COc1cc(NS(=O)(=O)c2ccc(C)cc2)c2c(c1N)C(=O)c1ccccc1C2=O,0,valid,aniline amino group
COc1cc(NS(=O)(=O)c2ccccc2)c2c(c1N)C(=O)c1ccccc1C2=O,0,train,aniline amino group
Clc1cccc(-c2ccccc2)c1,1,train,aryl chlorine substituent
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,1,train,aryl chlorine substituent
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,train,aryl chlorine substituent
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,test,aryl chlorine substituent
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train,aryl chlorine substituent
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,1,train,aryl chlorine substituent
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,train,aryl chlorine substituent
CCCCOC(=O)COc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
Oc1cc(Cl)c(Cl)cc1Cl,1,valid,aryl chlorine substituent
Oc1cc(O)c(Cl)cc1Cl,1,valid,aryl chlorine substituent
CN(C)C(=O)Nc1ccc(Cl)cc1,1,train,aryl chlorine substituent
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,train,aryl chlorine substituent
Nc1cc(Cl)c(Cl)cc1Cl,1,test,aryl chlorine substituent
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,test,aryl chlorine substituent
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,test,aryl chlorine substituent
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
N#Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N,1,train,aryl chlorine substituent
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,1,valid,aryl chlorine substituent
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,train,aryl chlorine substituent
COc1c(O)c(OC)c(Cl)c(Cl)c1Cl,1,train,aryl chlorine substituent
CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,1,train,aryl chlorine substituent
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,1,test,aryl chlorine substituent
CCCCOCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl,1,train,aryl chlorine substituent
CCCCOCCOC(=O)COc1ccc(Cl)cc1C,1,train,aryl chlorine substituent
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,1,train,aryl chlorine substituent
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,1,train,aryl chlorine substituent
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,1,train,aryl chlorine substituent
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,train,aryl chlorine substituent
COC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,1,test,aryl chlorine substituent
CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,1,train,aryl chlorine substituent
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,1,test,aryl chlorine substituent
CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,1,train,aryl chlorine substituent
CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,1,valid,aryl chlorine substituent
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
CCCCOCCCOC(=O)COc1ccc(Cl)cc1Cl,1,test,aryl chlorine substituent
CCCCOCCOCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,1,train,aryl chlorine substituent
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,1,train,aryl chlorine substituent
CCCCOCCCOC(=O)CCOc1cc(Cl)c(Cl)cc1Cl,1,test,aryl chlorine substituent
CC(C)CCCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,1,train,aryl chlorine substituent
CC(C)CCCCCOC(=O)COc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,1,train,aryl chlorine substituent
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1,test,aryl chlorine substituent
CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O,1,train,aryl chlorine substituent
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1,train,aryl chlorine substituent
CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,1,train,aryl chlorine substituent
Nc1cc(Cl)c(N)cc1Cl,1,train,aryl chlorine substituent
CC(C(=O)O)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,1,train,aryl chlorine substituent
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,1,train,aryl chlorine substituent
CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1Cl,1,train,aryl chlorine substituent
Clc1cccc(-c2cccc(Cl)c2)c1,1,train,aryl chlorine substituent
CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3Cl)nn12,0,train,aryl chlorine substituent
CCOc1nc(F)cc2nc(S(=O)(=O)Nc3c(Cl)cccc3C(=O)OC)nn12,1,train,aryl chlorine substituent
COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,1,test,aryl chlorine substituent
