smiles,FishAT,group,valid_smiles,has_aniline_amino,has_aryl_chlorine,aniline_amino_match_count,aryl_chlorine_match_count,aniline_amino_match_atoms,aryl_chlorine_match_atoms
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,train,True,True,True,2,1,"(4, 5); (7, 8)","(13, 14)"
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,1,test,True,True,True,1,1,"(1, 0)","(12, 13)"
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1,train,True,True,True,2,2,"(1, 0); (8, 9)","(10, 11); (14, 15)"
Nc1ccccc1Cl,1,train,True,True,True,1,1,"(1, 0)","(6, 7)"
Nc1ccc(Cl)c(Cl)c1,1,train,True,True,True,1,2,"(1, 0)","(4, 5); (6, 7)"
Cc1ccc(Cl)c(N)c1,1,train,True,True,True,1,1,"(6, 7)","(4, 5)"
Nc1cc(Cl)ccc1Cl,1,train,True,True,True,1,2,"(1, 0)","(3, 4); (7, 8)"
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,train,True,True,True,1,2,"(1, 0)","(2, 3); (10, 11)"
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1,train,True,True,True,2,2,"(1, 0); (9, 10)","(11, 12); (15, 16)"
Nc1ccc(Cl)cc1,1,valid,True,True,True,1,1,"(1, 0)","(4, 5)"
Nc1cccc(Cl)c1,1,train,True,True,True,1,1,"(1, 0)","(5, 6)"
Nc1ccc([N+](=O)[O-])cc1Cl,1,train,True,True,True,1,1,"(1, 0)","(9, 10)"
Nc1ccc(Cl)cc1Cl,1,train,True,True,True,1,2,"(1, 0)","(4, 5); (7, 8)"
Nc1c(Cl)cccc1Cl,1,test,True,True,True,1,2,"(1, 0)","(2, 3); (7, 8)"
Cc1ccc(N)c(Cl)c1,1,test,True,True,True,1,1,"(4, 5)","(6, 7)"
Nc1ccc(Cl)c(Cl)c1Cl,1,train,True,True,True,1,3,"(1, 0)","(4, 5); (6, 7); (8, 9)"
Nc1c(Cl)cc(Cl)cc1Cl,1,test,True,True,True,1,3,"(1, 0)","(2, 3); (5, 6); (8, 9)"
Nc1cc(Cl)c(Cl)cc1Cl,1,test,True,True,True,1,3,"(1, 0)","(3, 4); (5, 6); (8, 9)"
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,1,train,True,True,True,1,3,"(1, 0)","(2, 3); (4, 5); (11, 12)"
Nc1ccccc1C(=O)c1ccc(Cl)cc1,1,train,True,True,True,1,1,"(1, 0)","(12, 13)"
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,1,valid,True,True,True,1,4,"(1, 0)","(2, 3); (4, 5); (7, 8); (9, 10)"
Cc1cc(Cl)nc(N)n1,1,train,True,True,True,1,1,"(6, 7)","(3, 4)"
N#Cc1cc(Cl)ccc1N,1,train,True,True,True,1,1,"(8, 9)","(4, 5)"
Cc1ccc(N)cc1Cl,1,train,True,True,True,1,1,"(4, 5)","(7, 8)"
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,1,train,True,True,True,1,2,"(1, 0)","(2, 3); (13, 14)"
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F,1,train,True,True,True,1,2,"(17, 18)","(6, 7); (15, 16)"
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,1,train,True,True,True,1,2,"(17, 18)","(6, 7); (15, 16)"
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,1,train,True,True,True,1,2,"(17, 18)","(6, 7); (15, 16)"
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C(F)(F)F,1,valid,True,True,True,1,2,"(17, 18)","(6, 7); (15, 16)"
COC(=O)c1nc(C2CC2)nc(N)c1Cl,1,valid,True,True,True,1,1,"(11, 12)","(13, 14)"
CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,1,train,True,True,True,1,2,"(19, 20)","(17, 18); (21, 22)"
Nc1cc(Cl)cc(Cl)c1,1,train,True,True,True,1,2,"(1, 0)","(3, 4); (6, 7)"
Nc1cc(Cl)c(N)cc1Cl,1,train,True,True,True,2,2,"(1, 0); (5, 6)","(3, 4); (8, 9)"
Nc1ccc(Cl)cc1[N+](=O)[O-],1,test,True,True,True,1,1,"(1, 0)","(4, 5)"
