smiles,FishAT,group
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1,train
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1,train
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,1,train
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train
Nc1ccc(F)cc1C(F)(F)F,1,train
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,train
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1,train
Nc1c(F)c(F)c(F)c(F)c1F,1,train
Clc1ccccc1-c1ccccc1,1,train
Clc1cccc(-c2ccccc2)c1,1,train
Clc1ccc(-c2ccccc2)cc1,1,train
Nc1ccc(F)c(C(F)(F)F)c1,1,train
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,1,train
COC(=O)c1c(Cl)c(Cl)c(C(=O)SC)c(Cl)c1Cl,1,train
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,1,train
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,1,train
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3c(Cl)cc(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1Cl,1,valid
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(-c3cc(Cl)c(Cl)c(Cl)c3)c(Cl)c2Cl)c1,1,test
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,1,train
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,1,train
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1,train
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,1,train
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,1,test
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,1,train
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,1,valid
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,1,test
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,train
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,test
CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,1,test
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,1,train
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,1,train
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,1,valid
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,train
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1,test
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,1,train
N#CN=C1SCCN1Cc1ccc(Cl)nc1,1,train
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1,train
N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,1,train
Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,1,train
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,1,train
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,valid
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,train
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,1,train
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,1,train
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],1,train
COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,1,test
OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,1,train
CON=C(C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,1,test
O=C(O)c1c(Cl)cccc1Cl,1,valid
O=C(O)c1c(Cl)ccc(Cl)c1Cl,1,train
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,train
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,1,test
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,1,train
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,1,train
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1,train
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,test
Cc1cc(O)ccc1Cl,1,test
Nc1ccc(N=Nc2ccccc2)cc1,1,train
Nc1nc[nH]n1,1,valid
Nc1ccccc1,1,test
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1,train
